0,1,2,3,4,5,6,7,8,9,10,11,12,label
-303.42172,111.99615,10.108708,9.018759,-0.7152562,-6.628004,-7.0517945,-14.292661,-2.5496094,-6.62505,-6.7404723,-4.214668,-7.2254014,alarmı
-651.34894,49.857864,-15.8384905,10.766606,4.390434,-4.1747365,-9.486578,6.165911,1.576446,1.2934502,4.498372,-3.1532056,0.7579207,alarmı
-477.2591,105.9233,14.514224,11.965714,8.693102,9.420143,3.462924,0.9986293,-5.816872,-1.5516213,-5.2885,-2.666677,-3.8217645,alarmı
-369.86856,74.40099,-4.383944,10.964549,-5.795777,3.20424,-11.594238,-10.284284,2.8169208,-6.6880074,-7.6343865,-10.8764515,-5.2086844,alarmı
-327.86484,114.23197,3.5887465,16.49798,-1.5311984,-3.2568276,-8.588572,-9.343527,-0.58546734,-1.6761075,-1.5025532,-7.9368167,-8.363851,alarmı
-394.75644,100.84569,0.17442237,19.544163,-9.181098,1.9079496,-16.868528,-4.851886,-1.326116,-7.360278,-9.769153,-5.413159,-1.1421161,alarmı
-391.7751,111.38527,15.448371,9.09074,-0.8715566,-2.93702,-2.4680936,-10.35213,-15.189075,3.97397,-4.5033107,-6.8176436,-0.8806291,alarmı
-209.42215,135.515,-0.48413536,2.1067655,-8.835818,-0.069020435,-1.6443777,-10.196829,-9.492766,10.101011,-1.0569979,3.2936203,-0.7439336,alarmı
-288.34766,117.67343,3.243644,5.6242657,-3.4188669,-2.312208,-10.10921,-12.322476,2.6461775,-1.9893392,-1.1150023,-0.07339148,-7.628766,alarmı
-357.5681,135.8419,5.054685,14.069419,6.874171,-4.2499027,-14.163313,-14.80416,-6.9219317,-12.9086075,-9.827094,-8.566682,-8.371119,alarmı
-251.90686,127.156525,-0.80195874,26.395481,7.662587,2.696334,-11.311097,-7.7971296,-8.728858,-2.8538306,-9.468876,1.4499081,-8.434924,alarmı
-282.56375,111.33027,10.482113,8.929794,-13.826718,-0.16608462,-8.96754,-5.8222938,-6.593437,-2.2964308,-4.3951936,-0.2321349,0.49193186,alarmı
-302.06726,109.80892,7.9364276,24.476551,-7.5331807,6.474934,-7.066423,0.33160707,1.6654681,-0.7383794,-7.9406705,0.25628698,-6.0215034,alarmı
-374.72397,120.78516,-0.017277883,17.878487,3.3809085,8.9474745,-16.815672,-9.941713,-1.9432634,-9.354039,-6.549771,-4.7727604,-4.807019,alarmı
-320.02673,104.28067,29.005638,7.8601604,-2.9869187,1.2423213,-2.9850717,-7.9475217,-10.316973,-2.674732,-1.4008753,-2.0236378,-7.9443164,alarmı
-245.65918,131.50163,-6.4796486,21.847904,-8.273282,-8.993484,-14.717235,-20.593813,-8.980786,-10.1152315,-6.7512035,-0.34341228,-9.225097,alarmı
-193.29216,129.21544,8.984899,29.879473,3.2556257,3.518791,0.10341905,-3.440675,-12.652522,-1.2079929,-8.726114,-5.394145,-7.2283926,alarmı
-343.74536,93.7496,6.48727,24.688232,10.902788,-3.8590276,-0.15384832,-2.1865637,3.6628795,-4.7546015,-4.894679,-11.83581,-10.199071,alarmı
-401.7608,116.22575,22.098131,27.279457,-18.655657,-0.27490014,-8.860601,-9.412243,-1.3695462,-7.5238767,-7.7118816,-7.8960733,-3.970432,alarmı
-287.47113,124.331406,17.970924,12.907183,0.93594867,3.9956062,-6.8037415,-4.1294894,1.9619821,-0.4364728,-3.307203,-4.6226835,-4.961943,alarmı
-306.66956,107.097305,-8.528752,3.0373163,-8.343504,0.25300747,-23.113737,2.505916,1.7703484,-12.265753,-15.852808,-0.76961446,-9.951619,alarmı
-234.86629,132.40314,7.445723,8.600768,0.17214742,11.901848,-0.47192353,-0.34919214,-7.1505833,-1.2162142,-5.128083,-10.964187,-5.7031674,alarmı
-355.75064,90.84838,16.44081,20.600088,7.6289005,0.3857029,-0.98934853,-5.908144,-1.968071,2.7850354,-6.424074,-7.7403827,-8.328731,alarmı
-285.67792,108.98026,-14.037081,27.440765,-3.9866164,14.6898365,-14.53889,-5.645301,1.0939329,-11.595601,-11.293254,-6.5934405,-12.761484,alarmı
-351.4198,55.897297,-3.840349,27.101912,-5.903243,3.061635,-3.4489467,6.1798544,4.3393106,-11.188966,-8.760663,-7.968632,-3.0733387,alarmı
-256.04477,104.5513,0.48284703,23.724052,4.1733394,-3.3467476,-9.461854,-1.6661112,-7.3624463,-3.6008413,-6.1424594,-5.8684645,-6.07028,alarmı
-456.59457,75.66665,-17.455067,4.838929,-1.1785771,14.150965,-3.4169297,1.8656634,-1.2416929,-0.18665405,-10.025479,-11.226391,-0.45191437,alarmı
-304.25272,121.79961,-6.6062737,17.810352,-1.2899871,-10.91969,-20.35744,-12.428071,-1.3265129,-12.490869,-7.741605,-5.0648103,-5.104381,alarmı
-216.7614,141.84125,10.860596,17.752275,-5.077131,-6.639244,-10.725582,-13.1748705,-7.9071026,3.554743,-3.1898553,-4.866225,-0.77790046,alarmı
-456.3958,89.557846,-13.485268,8.243121,-6.0965023,2.477887,4.650093,-14.485933,-3.1109824,-1.2115295,-3.1014762,-5.5940146,-12.619544,alarmı
-358.0655,116.01828,23.385931,32.901875,17.391882,-0.7201861,-5.076144,-3.6485581,1.9665849,3.5327618,-9.011943,-1.5454568,-7.49374,alarmı
-351.49384,87.928345,10.133725,9.379255,-0.7233342,-1.424608,-11.829422,-6.767977,-4.017018,-9.764519,-12.362847,-12.185889,-8.245624,alarmı
-359.373,132.68745,18.541506,2.7791934,-1.9204333,4.362457,-6.0470824,-9.20153,-8.150907,-2.5965374,-2.5891137,-7.3550763,-5.3619204,alarmı
-287.0283,146.82108,1.7585583,23.994923,-0.47929767,1.5909818,-9.602312,-10.469304,-11.294023,-0.3870362,-3.1266646,-3.1102488,-1.7855539,alarmı
-372.5371,119.85617,5.6338425,12.198038,4.221531,-4.2481027,-1.127314,-18.78229,-3.5569704,-7.188423,-5.9269195,-0.6269007,-9.208242,alarmı
-654.91986,42.140266,-12.875744,11.250604,-0.04941115,-3.6193976,-7.3013287,5.428933,3.147936,1.9067032,3.4297285,-2.7536006,-1.7367748,alarmı
-441.0439,90.97142,9.752967,10.536293,8.723273,9.438388,2.3747602,-0.064952545,-7.7807913,-0.25967658,-2.8805666,-1.1042179,-3.1583524,alarmı
-403.91135,82.55915,-3.262207,17.794346,-7.429905,0.03330186,-14.143051,-10.810668,2.754804,-8.091968,-7.5118575,-11.219185,-6.6724434,alarmı
-249.64442,143.39423,-4.1670647,26.733603,-0.84452313,-5.8412204,-1.9941207,-8.669431,-6.4783707,0.7072817,-6.0482955,-5.9716883,-9.050955,alarmı
-398.114,107.34806,-0.54890245,19.318739,-9.763964,-4.727289,-19.517996,-4.253894,-1.3242732,-9.463984,-12.433884,-5.1092944,-4.5759053,alarmı
-419.9624,131.75998,18.683983,13.677904,3.7553964,-1.5135478,1.2086505,-5.447667,-11.420085,8.055292,-4.798105,-6.6813293,1.4423082,alarmı
-282.95026,106.17915,10.702485,5.76349,-0.96254677,-1.2637533,-9.543824,-14.68549,-16.60415,1.0472915,-7.91533,-6.3890896,-2.7102957,alarmı
-342.0926,139.81873,3.6147377,16.874819,-12.643421,-8.670163,-17.868101,-23.253904,-8.785991,-7.6534653,-1.9724568,-1.088791,-11.886019,alarmı
-291.19553,131.89671,-9.458515,20.016012,5.7882166,-0.87584126,-13.776841,-15.618176,-3.9846401,-6.3728337,-5.442073,-5.570524,-11.435137,alarmı
-278.70026,132.91591,4.3381534,27.15369,0.9333538,-5.236007,-12.624652,-16.677359,-15.2061405,-0.89257807,-17.529884,-3.064425,-3.663723,alarmı
-338.91415,117.52982,-0.04324547,20.016928,-6.2770314,3.9469798,-15.59754,-3.2184572,-8.225328,-3.9909842,-7.931286,-3.291214,-0.7313587,alarmı
-346.4978,96.03025,1.1473601,12.875026,-9.394225,3.5857372,-10.450449,-3.993339,-0.2817439,-6.534909,-11.939281,-1.7694825,-7.3967013,alarmı
-276.37643,150.2714,-23.241106,21.24807,-12.8789625,12.043446,-19.323326,-13.0021105,-6.35305,-19.108595,-2.2653368,-13.211481,-8.488083,alarmı
-323.23123,108.101715,31.363613,10.238177,2.144359,0.7631877,-2.6557333,-9.121672,-10.381044,-2.2564478,-1.1579158,-3.8005393,-7.6327744,alarmı
-278.9897,153.62067,-4.7095942,16.08802,-15.51891,-3.050819,-13.175124,-28.181276,-18.704037,-9.00201,-6.1110516,-8.968037,-7.1500683,alarmı
-321.81003,137.91226,10.486702,30.461983,0.072940886,9.522965,-6.608036,-15.438186,-13.16609,-6.6796727,-9.720241,-11.238655,-5.923388,alarmı
-394.9225,86.116875,12.480788,22.385187,6.515221,0.44951394,3.3539557,-2.066045,-5.0007453,-4.772506,-5.106995,-9.774771,-7.800318,alarmı
-412.6913,112.40805,8.332764,24.657118,-16.617224,2.40659,-11.746809,-12.465067,-2.4101207,-4.2688985,1.2360876,-7.3247867,-1.0918802,alarmı
-337.36325,137.76837,-0.25724706,14.0629015,-3.198096,-0.2988143,-2.95733,0.8608282,5.038342,-5.2490954,-2.4359152,-5.307229,-5.2623916,alarmı
-321.08914,112.28849,-7.93046,-0.9559781,-7.659584,2.5725303,-22.266949,-2.7565935,-5.658396,-13.229876,-17.653397,-1.3560412,-11.800598,alarmı
-293.53546,122.83016,11.394161,25.090324,1.9398136,14.437937,-11.492974,-2.0995371,-10.246683,-5.825631,-6.5300035,-6.9723516,-3.4685264,alarmı
-447.70105,76.78229,-2.2308419,18.47824,7.928091,0.30937195,2.8225737,-5.6415195,-0.78668207,3.5046108,-7.0274587,-3.8753555,-8.197893,alarmı
-313.28265,133.33972,-13.501632,22.6294,-4.8903136,8.022336,-14.185312,-7.563245,4.6800203,-12.818706,-5.662747,-4.994245,-9.098392,alarmı
-419.35623,76.8968,-6.259472,32.343742,-8.547441,5.4490504,-5.3046255,11.058925,2.9839315,-11.858136,-9.964901,-8.326887,-0.8440978,alarmı
-341.84274,124.979965,-8.416323,17.931835,3.7383335,-6.903249,-12.179265,-5.2049236,-1.8132528,-1.7783713,-0.25835904,-11.040572,-6.1365695,alarmı
-483.8185,64.96703,-12.361369,1.0379369,0.35383835,12.913984,-2.7901387,2.0573525,-0.677944,-0.7778825,-10.488084,-10.148048,1.4040915,alarmı
-385.12744,143.02208,9.16961,28.729776,13.248328,0.3371535,-6.2332044,-1.4709665,7.110018,1.9069091,-0.30624735,1.8006607,3.7758155,alarmı
-304.06836,158.95801,0.5791604,33.863895,5.295656,-3.4383674,-6.601737,-10.108841,-0.90890133,4.928148,-6.1722846,-4.7986555,-1.6788142,alarmı
-435.64136,104.43763,-4.2450824,4.671113,-6.5591373,-1.4470881,-0.41900727,-19.638618,-5.477806,-5.427203,-4.3674912,-5.0797515,-8.692629,alarmı
-365.9046,142.56282,12.562646,24.861486,9.011208,-6.7867174,-7.487693,-7.317912,-8.444731,6.488529,-7.1982636,-6.0108986,-9.737849,alarmı
-381.5302,106.81812,12.855635,9.085373,3.0286725,-2.396534,-12.77081,-3.0083187,0.9870165,-7.8290195,-10.790754,-12.10537,-8.7747965,alarmı
-378.44678,140.40448,27.942556,8.450925,-0.7167322,8.725908,-6.164174,-7.0621047,-9.280693,-0.2738847,3.7180567,-6.221557,-3.1625125,alarmı
-280.8544,147.44969,-3.491802,25.61792,-2.5307655,5.5747275,-5.545501,-10.016416,-9.380502,0.851837,-3.7436957,4.818612,-1.5846194,alarmı
-489.39127,141.4467,17.254276,29.212318,-2.1109896,11.696669,-5.388591,-1.6222348,-5.3829126,1.7243463,-3.0535488,-0.10528387,-11.594776,alarmı
-684.1489,56.214855,-20.37114,11.956642,3.2944026,-4.198361,-5.008472,10.904519,4.7401385,9.050498,11.535883,-0.4976912,1.4579515,alarmı
-463.1329,90.45641,12.902316,10.477892,6.6395655,10.132606,6.6414237,0.4763511,-5.528101,-1.8384633,-2.400408,-2.2800608,-2.690387,alarmı
-430.31073,101.01118,4.2830253,17.087763,-7.986385,3.8300831,-11.607308,-9.437842,3.4934926,-7.761669,-6.6277156,-10.604018,-7.066133,alarmı
-357.01077,136.58525,6.753539,16.514185,-8.303746,-5.6203012,-6.993297,-12.154631,2.3751898,0.08245914,-0.22233452,-4.5480466,-8.422812,alarmı
-384.46417,131.11937,0.5656497,18.656708,-6.1002855,-0.037440587,-16.200058,-3.1262138,-0.61133707,-9.837033,-14.014201,-4.0167093,-5.9810853,alarmı
-398.12827,113.58897,13.24093,2.6782043,2.2810717,5.001225,4.708815,-4.163285,-9.182458,5.3237395,-4.0955825,-6.1525617,3.6917613,alarmı
-312.97372,111.54249,-0.58641297,11.000043,-6.923316,-5.359281,-12.882921,-13.873912,-21.120617,-0.5412605,-8.823942,-8.346974,-10.255902,alarmı
-282.602,124.94463,12.155793,12.824372,-1.3649478,-2.7526112,-12.257981,-18.796438,-5.8992543,-3.2495599,-2.3616307,0.9366851,-9.736356,alarmı
-321.56937,120.485565,-12.315678,25.118504,5.6226273,0.5838978,-7.855875,-12.310715,-2.6951706,-10.7684965,-8.595333,-1.0758729,-7.0815907,alarmı
-289.25772,142.61565,4.281122,38.482933,0.9008857,-6.6087623,-14.009847,-15.804297,-8.602964,-5.3298373,-14.790595,-5.2873673,-9.28591,alarmı
-337.61737,128.31012,6.56458,20.081358,-6.724137,7.1358247,-14.900546,-4.8307505,-12.669764,-4.559486,-7.503848,-7.071034,-1.8822627,alarmı
-381.5137,99.60929,-4.6878805,10.027868,-20.932848,-2.0772097,-24.935791,-9.8449745,-2.053377,-6.4515233,-13.970685,-6.978777,-7.906383,alarmı
-284.9805,129.00174,-13.517654,26.166693,0.4670593,5.5446553,-14.81619,-16.379887,-7.252146,-14.1433525,-5.4545465,-6.417304,-10.238668,alarmı
-338.9872,100.50095,32.684814,9.289712,-4.1885505,-0.7841163,-6.4369726,-7.8163686,-7.275997,2.1421862,1.3879648,-1.3433074,-4.0540586,alarmı
-322.91287,157.31317,-6.487943,27.539948,-5.29186,-3.9058201,-8.67465,-23.372274,-20.772385,-5.2913966,-5.900914,-3.2893932,-6.2478724,alarmı
-355.0638,109.41978,7.3029623,17.906794,2.03274,10.819582,3.4443643,-3.4376047,-5.8303447,-3.0640864,-3.9407573,-7.764911,-5.0424495,alarmı
-420.06006,83.19829,13.880223,20.960104,9.892191,-4.4607496,-0.7698962,-2.7854218,-3.8581245,-5.4169717,-3.7763093,-10.815252,-8.568984,alarmı
-406.02185,115.68703,22.102999,26.298582,-20.743471,-4.5117784,-11.0588875,-17.775457,-0.48725933,-9.006464,-1.2072742,-5.6463733,-3.3903592,alarmı
-341.50604,127.716805,8.0544815,16.476908,1.4734169,0.4916354,-6.64331,-5.738473,-0.7373457,-6.2518473,-4.8631725,-7.454326,-5.4186788,alarmı
-359.25568,111.27462,4.6382422,3.3307521,-8.911174,-2.1366923,-24.491718,-1.4435852,-7.762122,-13.762149,-17.094637,-2.2746882,-11.28281,alarmı
-266.06302,130.18901,7.616768,14.185802,-4.08457,12.563811,-12.539445,-5.617917,-15.141587,-5.7349358,-7.991281,-12.333114,-5.3848023,alarmı
-457.51526,96.71636,-1.8360789,18.713306,6.2008595,-3.8349912,3.2142472,-8.592471,3.1509717,7.870167,-4.88229,0.29151443,-6.4606533,alarmı
-290.5805,134.61636,-20.471748,23.556206,-4.904673,9.737529,-15.120387,-8.524901,5.727573,-13.49908,-11.982303,-6.352922,-11.576845,alarmı
-408.87384,72.20232,-11.790306,27.234735,-14.953213,2.6480873,-5.809933,10.453695,4.250803,-8.670962,-8.523441,-11.553845,-5.054729,alarmı
-293.00385,132.00626,-12.508081,23.057022,-0.2750859,3.749966,-1.4740821,-0.5192125,-10.831183,-2.5120206,0.3189286,-7.302134,-5.1300955,alarmı
-474.76917,70.288574,-13.242043,3.4098964,-1.4900022,11.981846,-5.4817357,1.177092,-2.3831308,-0.78500265,-11.543602,-13.4753895,1.9780267,alarmı
-422.65195,126.9757,-8.253284,24.135136,1.953298,-2.5591831,-13.214046,-3.9712596,-3.764452,-6.868991,-1.0385346,-7.0618687,-1.0040315,alarmı
-289.02478,165.16966,3.1779296,25.949926,2.885894,-6.659471,-9.777103,-12.683349,-10.871765,2.7881212,-2.9154513,-3.4764063,-4.086118,alarmı
-449.65094,85.73196,-0.98570395,7.8692236,-3.7898006,1.5446268,2.170765,-14.322175,-0.102185585,-1.2014742,0.57796097,-3.7257624,-10.128583,alarmı
-325.94315,113.068535,12.268875,16.023294,-6.417108,-11.703576,-17.112076,-9.0496,-8.612085,1.354648,-10.742809,-2.299748,-10.261865,alarmı
-411.98456,85.43065,15.623691,15.262639,6.974509,-4.2669797,-12.522486,-4.6337857,-2.176196,-9.208706,-12.218556,-11.80174,-8.770377,alarmı
-388.09396,139.75618,27.69022,6.0782633,1.7684147,8.111826,-5.163414,-11.394271,-3.9183073,2.8604789,1.5346074,-5.442851,-3.111645,alarmı
